-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE
32.5,34.375,2012,1,19,3.13
32.5,35.0,2012,1,19,3.18
32.5,35.625,2012,1,19,5.57
33.0,34.375,2012,1,19,2.18
33.0,35.0,2012,1,19,2.52
33.0,35.625,2012,1,19,3.91
29.5,34.375,2012,1,20,4.02
29.5,35.0,2012,1,20,3.55
29.5,35.625,2012,1,20,4.63
30.0,34.375,2012,1,20,4.37
30.0,35.0,2012,1,20,4.13
30.0,35.625,2012,1,20,5.46
30.5,34.375,2012,1,20,4.86
30.5,35.0,2012,1,20,4.39
30.5,35.625,2012,1,20,5.67
31.0,34.375,2012,1,20,3.66
31.0,35.0,2012,1,20,4.74
31.0,35.625,2012,1,20,4.93
31.5,34.375,2012,1,20,4.2
31.5,35.0,2012,1,20,5.51
31.5,35.625,2012,1,20,4.53
32.0,34.375,2012,1,20,6.76
32.0,35.0,2012,1,20,6.88
32.0,35.625,2012,1,20,5.36
32.5,34.375,2012,1,20,7.83
32.5,35.0,2012,1,20,6.22
32.5,35.625,2012,1,20,4.47
33.0,34.375,2012,1,20,6.92
33.0,35.0,2012,1,20,6.36
33.0,35.625,2012,1,20,3.63
29.5,34.375,2012,1,21,3.83
29.5,35.0,2012,1,21,3.69
29.5,35.625,2012,1,21,1.73
30.0,34.375,2012,1,21,4.0
30.0,35.0,2012,1,21,4.06
30.0,35.625,2012,1,21,3.83
30.5,34.375,2012,1,21,2.65
30.5,35.0,2012,1,21,2.85
30.5,35.625,2012,1,21,4.34
31.0,34.375,2012,1,21,2.62
31.0,35.0,2012,1,21,1.81
31.0,35.625,2012,1,21,3.31
31.5,34.375,2012,1,21,2.79
31.5,35.0,2012,1,21,2.22
31.5,35.625,2012,1,21,1.91
32.0,34.375,2012,1,21,6.06
32.0,35.0,2012,1,21,5.55
32.0,35.625,2012,1,21,2.43
32.5,34.375,2012,1,21,9.06
32.5,35.0,2012,1,21,6.27
32.5,35.625,2012,1,21,3.19
33.0,34.375,2012,1,21,10.92
33.0,35.0,2012,1,21,8.8
33.0,35.625,2012,1,21,2.42
29.5,34.375,2012,1,22,10.83
29.5,35.0,2012,1,22,10.35
29.5,35.625,2012,1,22,11.47
30.0,34.375,2012,1,22,12.52
30.0,35.0,2012,1,22,12.27
30.0,35.625,2012,1,22,10.64
30.5,34.375,2012,1,22,11.53
30.5,35.0,2012,1,22,12.75
30.5,35.625,2012,1,22,9.14
31.0,34.375,2012,1,22,10.09
31.0,35.0,2012,1,22,11.82
31.0,35.625,2012,1,22,7.86
31.5,34.375,2012,1,22,8.09
31.5,35.0,2012,1,22,9.12
31.5,35.625,2012,1,22,8.86
32.0,34.375,2012,1,22,8.03
32.0,35.0,2012,1,22,6.64
32.0,35.625,2012,1,22,7.72
32.5,34.375,2012,1,22,10.37
32.5,35.0,2012,1,22,6.05
32.5,35.625,2012,1,22,6.14
33.0,34.375,2012,1,22,12.13
33.0,35.0,2012,1,22,8.14
33.0,35.625,2012,1,22,4.17
29.5,34.375,2012,1,23,5.63
29.5,35.0,2012,1,23,3.39
29.5,35.625,2012,1,23,6.78
30.0,34.375,2012,1,23,5.43
30.0,35.0,2012,1,23,3.98
30.0,35.625,2012,1,23,7.62
30.5,34.375,2012,1,23,5.72
30.5,35.0,2012,1,23,5.24
30.5,35.625,2012,1,23,5.52
31.0,34.375,2012,1,23,4.82
31.0,35.0,2012,1,23,3.79
31.0,35.625,2012,1,23,3.23
31.5,34.375,2012,1,23,3.06
31.5,35.0,2012,1,23,2.77
31.5,35.625,2012,1,23,3.21
32.0,34.375,2012,1,23,3.37
32.0,35.0,2012,1,23,2.53
32.0,35.625,2012,1,23,3.99
32.5,34.375,2012,1,23,3.92
32.5,35.0,2012,1,23,2.31
32.5,35.625,2012,1,23,3.76
33.0,34.375,2012,1,23,4.13
33.0,35.0,2012,1,23,2.8
33.0,35.625,2012,1,23,4.25
29.5,34.375,2012,1,24,4.81
29.5,35.0,2012,1,24,3.88
29.5,35.625,2012,1,24,3.21
30.0,34.375,2012,1,24,5.02
30.0,35.0,2012,1,24,3.97
30.0,35.625,2012,1,24,4.31
30.5,34.375,2012,1,24,5.93
30.5,35.0,2012,1,24,3.32
30.5,35.625,2012,1,24,6.57
31.0,34.375,2012,1,24,5.45
31.0,35.0,2012,1,24,2.09
31.0,35.625,2012,1,24,5.33
31.5,34.375,2012,1,24,5.08
31.5,35.0,2012,1,24,3.44
31.5,35.625,2012,1,24,4.05
32.0,34.375,2012,1,24,5.08
32.0,35.0,2012,1,24,4.8
32.0,35.625,2012,1,24,5.17
32.5,34.375,2012,1,24,4.81
32.5,35.0,2012,1,24,3.64
32.5,35.625,2012,1,24,4.78
33.0,34.375,2012,1,24,5.19
33.0,35.0,2012,1,24,5.73
33.0,35.625,2012,1,24,4.47
29.5,34.375,2012,1,25,3.13
29.5,35.0,2012,1,25,4.82
29.5,35.625,2012,1,25,6.79
30.0,34.375,2012,1,25,3.2
30.0,35.0,2012,1,25,2.87
30.0,35.625,2012,1,25,4.48
30.5,34.375,2012,1,25,3.35
30.5,35.0,2012,1,25,4.45
30.5,35.625,2012,1,25,4.74
31.0,34.375,2012,1,25,4.99
31.0,35.0,2012,1,25,5.37
31.0,35.625,2012,1,25,5.79
31.5,34.375,2012,1,25,6.04
31.5,35.0,2012,1,25,4.61
31.5,35.625,2012,1,25,4.2
32.0,34.375,2012,1,25,7.35
32.0,35.0,2012,1,25,5.17
32.0,35.625,2012,1,25,4.46
32.5,34.375,2012,1,25,5.33
32.5,35.0,2012,1,25,4.96
32.5,35.625,2012,1,25,5.66
33.0,34.375,2012,1,25,3.14
33.0,35.0,2012,1,25,4.1
33.0,35.625,2012,1,25,4.66
29.5,34.375,2012,1,26,4.13
29.5,35.0,2012,1,26,2.83
29.5,35.625,2012,1,26,3.05
30.0,34.375,2012,1,26,3.21
30.0,35.0,2012,1,26,2.97
30.0,35.625,2012,1,26,3.46
30.5,34.375,2012,1,26,1.81
30.5,35.0,2012,1,26,1.99
30.5,35.625,2012,1,26,4.53
31.0,34.375,2012,1,26,2.14
31.0,35.0,2012,1,26,2.82
31.0,35.625,2012,1,26,3.89
31.5,34.375,2012,1,26,2.71
31.5,35.0,2012,1,26,3.69
31.5,35.625,2012,1,26,5.12
32.0,34.375,2012,1,26,5.78
32.0,35.0,2012,1,26,4.0
32.0,35.625,2012,1,26,5.85
32.5,34.375,2012,1,26,7.45
32.5,35.0,2012,1,26,4.93
32.5,35.625,2012,1,26,3.94
33.0,34.375,2012,1,26,7.32
33.0,35.0,2012,1,26,6.06
33.0,35.625,2012,1,26,5.25
29.5,34.375,2012,1,27,2.25
29.5,35.0,2012,1,27,3.74
29.5,35.625,2012,1,27,4.67
30.0,34.375,2012,1,27,3.12
30.0,35.0,2012,1,27,3.93
30.0,35.625,2012,1,27,5.87
30.5,34.375,2012,1,27,4.16
30.5,35.0,2012,1,27,4.88
30.5,35.625,2012,1,27,5.98
31.0,34.375,2012,1,27,3.77
31.0,35.0,2012,1,27,4.91
31.0,35.625,2012,1,27,5.01
31.5,34.375,2012,1,27,3.95
31.5,35.0,2012,1,27,5.34
31.5,35.625,2012,1,27,6.03
32.0,34.375,2012,1,27,3.32
32.0,35.0,2012,1,27,4.39
32.0,35.625,2012,1,27,6.78
32.5,34.375,2012,1,27,3.79
