LAT,LON,YEAR,MO,DY,WS10M_RANGE
29.5,35.625,2023,7,18,6.52
29.5,35.0,2023,7,18,3.48
29.5,34.375,2023,7,18,4.36
29.5,35.625,2023,4,29,6.47
29.5,35.0,2023,4,29,6.03
29.5,34.375,2023,4,29,5.31
29.5,35.625,2021,3,9,2.99
29.5,35.0,2021,3,9,2.27
29.5,34.375,2021,3,9,2.99
29.5,35.625,2024,4,16,1.66
29.5,35.625,2022,6,7,6.86
29.5,35.0,2024,12,14,3.32
29.5,34.375,2024,12,14,4.93
29.5,35.625,2024,12,15,6.31
29.5,35.0,2024,12,15,5.75
29.5,34.375,2024,12,15,3.52
29.5,34.375,2022,6,7,3.88
29.5,35.625,2022,6,6,6.33
29.5,35.0,2022,6,6,4.71
29.5,34.375,2022,6,6,5.65
29.5,35.0,2024,4,16,2.82
29.5,34.375,2024,4,16,1.97
29.5,35.625,2021,3,8,5.26
29.5,35.0,2021,3,8,3.28
29.5,34.375,2021,3,8,4.07
29.5,35.625,2021,4,29,2.72
29.5,35.0,2021,4,29,2.18
29.5,35.625,2023,2,20,4.48
29.5,35.0,2023,2,20,3.83
29.5,34.375,2023,2,20,3.13
29.5,35.625,2024,12,14,3.99
29.5,35.625,2022,7,9,7.39
29.5,35.0,2022,7,9,4.02
29.5,35.625,2021,4,28,4.63
29.5,35.0,2021,4,28,3.27
29.5,34.375,2021,4,28,2.16
29.5,35.625,2024,4,17,2.82
29.5,35.0,2024,4,17,2.83
29.5,34.375,2024,4,17,4.07
29.5,35.625,2024,3,16,5.05
29.5,35.0,2024,3,16,3.09
29.5,34.375,2024,3,16,3.68
29.5,34.375,2022,7,9,4.95
29.5,35.0,2023,2,9,1.64
29.5,34.375,2023,2,9,2.07
29.5,35.625,2023,7,19,5.16
29.5,35.0,2023,7,19,4.11
29.5,35.625,2022,10,31,3.63
29.5,35.0,2022,10,31,2.62
29.5,35.625,2021,3,7,5.58
29.5,35.0,2021,3,7,4.74
29.5,34.375,2021,3,7,5.22
29.5,35.625,2022,10,18,6.05
29.5,35.0,2022,10,18,1.51
29.5,34.375,2022,10,18,3.08
29.5,35.625,2021,4,30,4.53
29.5,35.0,2021,4,30,2.15
29.5,34.375,2021,4,30,4.67
29.5,34.375,2023,7,19,4.72
29.5,35.625,2021,3,6,3.45
29.5,35.0,2021,3,6,3.06
29.5,34.375,2021,3,6,3.17
29.5,35.625,2021,5,1,4.16
29.5,35.0,2021,5,1,3.11
29.5,34.375,2021,5,1,4.18
29.5,35.625,2020,1,31,7.14
29.5,35.0,2020,1,31,6.53
29.5,34.375,2020,1,31,6.13
29.5,35.625,2022,6,5,6.36
29.5,35.0,2022,6,5,2.85
29.5,34.375,2022,6,5,4.83
29.5,35.625,2020,1,30,3.65
29.5,35.0,2020,1,30,2.13
29.5,34.375,2020,1,30,3.85
29.5,35.625,2023,2,9,2.75
29.5,35.0,2020,2,1,3.11
29.5,34.375,2020,2,1,3.3
29.5,35.625,2022,7,10,3.72
