LAT,LON,YEAR,MO,DY,T2M_MAX
29.5,34.375,2024,12,21,17.41
29.5,35.625,2022,6,17,40.63
29.5,35.0,2022,6,17,38.03
29.5,34.375,2022,6,17,34.24
29.5,35.625,2021,4,17,31.76
29.5,35.0,2021,4,17,34.34
29.5,35.0,2021,3,18,21.8
29.5,34.375,2021,3,18,20.42
29.5,35.625,2024,4,11,24.21
29.5,35.0,2024,4,11,26.75
29.5,34.375,2024,4,11,25.01
29.5,35.625,2022,6,15,34.08
29.5,35.0,2022,6,15,34.41
29.5,34.375,2022,6,15,33.01
29.5,35.625,2023,2,11,17.84
29.5,35.0,2023,2,11,18.67
29.5,34.375,2023,2,11,17.84
29.5,35.625,2022,6,16,37.98
29.5,35.0,2022,6,16,38.89
29.5,34.375,2022,6,16,36.92
29.5,34.375,2021,4,18,35.74
29.5,35.625,2024,4,10,20.6
29.5,35.0,2020,1,20,14.67
29.5,34.375,2020,1,20,13.68
29.5,35.625,2023,7,13,40.34
29.5,35.0,2023,7,13,41.7
29.5,34.375,2023,7,13,38.98
29.5,35.625,2022,10,20,31.26
29.5,35.0,2022,10,20,30.04
29.5,34.375,2022,10,20,27.81
29.5,35.625,2021,3,17,24.19
29.5,35.0,2021,3,17,24.74
29.5,34.375,2021,3,17,24.62
29.5,35.625,2021,4,20,34.03
29.5,35.0,2021,4,20,33.08
29.5,34.375,2021,4,20,34.65
29.5,35.625,2024,3,22,17.53
29.5,35.625,2021,3,18,20.49
29.5,35.0,2024,3,22,19.32
29.5,34.375,2024,3,22,17.82
29.5,34.375,2022,10,21,27.5
29.5,35.625,2021,3,16,26.4
29.5,35.0,2021,3,16,24.66
29.5,34.375,2021,3,16,23.71
29.5,35.625,2021,4,21,33.45
29.5,35.0,2021,4,21,29.55
29.5,34.375,2021,4,21,28.63
29.5,35.625,2020,1,21,8.13
29.5,35.0,2020,1,21,11.84
29.5,34.375,2020,1,21,10.5
29.5,35.625,2023,6,30,35.75
29.5,35.0,2023,6,30,33.34
29.5,34.375,2023,6,30,31.98
29.5,35.625,2020,1,20,12.32
29.5,34.375,2021,4,22,27.96
29.5,35.625,2020,1,22,9.76
29.5,35.0,2020,1,22,10.69
29.5,34.375,2020,1,22,9.62
29.5,35.625,2022,7,7,33.85
29.5,35.0,2022,7,7,34.17
29.5,34.375,2022,7,7,33.02
29.5,35.625,2022,6,14,33.17
29.5,35.0,2022,6,14,32.95
29.5,34.375,2022,6,14,32.68
29.5,35.625,2021,3,15,28.3
29.5,35.0,2021,3,15,30.5
29.5,34.375,2021,3,15,30.27
29.5,35.625,2023,4,22,27.39
29.5,35.0,2023,4,22,27.65
29.5,34.375,2023,4,22,27.44
29.5,35.0,2020,1,23,14.0
29.5,34.375,2020,1,23,13.44
29.5,35.625,2024,12,19,21.77
29.5,35.0,2024,12,19,23.89
29.5,34.375,2024,12,19,23.11
29.5,35.625,2023,7,14,40.2
29.5,35.0,2023,7,14,41.16
29.5,34.375,2023,7,14,38.97
29.5,35.625,2022,10,29,28.52
29.5,35.0,2022,10,29,29.16
29.5,34.375,2022,10,29,26.25
29.5,35.625,2024,4,12,26.51
29.5,35.0,2024,4,12,28.05
29.5,35.625,2024,3,21,23.85
29.5,35.0,2024,3,21,25.58
29.5,34.375,2024,3,21,25.47
29.5,35.625,2024,4,13,26.34
29.5,35.0,2024,4,13,26.74
29.5,34.375,2024,4,13,25.04
29.5,35.625,2021,4,23,32.84
29.5,35.0,2021,4,23,31.56
29.5,34.375,2021,4,23,30.99
29.5,35.625,2024,12,18,16.71
29.5,35.0,2024,12,18,21.68
29.5,34.375,2024,12,18,19.13
29.5,35.625,2022,6,13,31.11
29.5,35.0,2022,6,13,32.92
29.5,34.375,2022,6,13,32.15
29.5,35.625,2022,6,12,37.61
29.5,35.0,2022,6,12,37.83
29.5,34.375,2022,6,12,37.14
29.5,35.625,2020,1,23,11.33
29.5,35.0,2024,3,19,18.16
29.5,35.625,2023,2,19,18.54
29.5,35.0,2023,2,19,22.76
29.5,34.375,2023,2,19,20.02
29.5,35.625,2023,6,29,34.42
29.5,35.0,2023,6,29,34.16
29.5,34.375,2023,6,29,32.31
29.5,35.625,2021,4,22,33.17
29.5,35.0,2021,4,22,27.86
29.5,35.625,2021,3,14,26.67
29.5,35.0,2021,3,14,27.01
29.5,34.375,2021,3,14,25.9
29.5,35.625,2021,3,13,20.41
29.5,35.0,2021,3,13,22.76
29.5,34.375,2024,3,19,17.5
29.5,34.375,2024,4,12,26.19
29.5,35.0,2023,7,16,40.24
29.5,34.375,2023,7,16,38.6
29.5,35.625,2020,1,24,9.3
29.5,35.0,2020,1,24,12.77
29.5,34.375,2020,1,24,11.64
29.5,35.625,2023,7,15,40.25
29.5,35.0,2023,7,15,40.45
29.5,34.375,2023,7,15,37.9
29.5,35.625,2024,3,20,19.54
29.5,35.0,2024,3,20,21.85
29.5,34.375,2024,3,20,21.78
29.5,34.375,2021,3,13,19.84
29.5,35.625,2022,10,19,31.66
29.5,35.0,2022,10,19,30.05
29.5,34.375,2022,10,19,29.4
29.5,35.625,2024,3,19,14.7
29.5,34.375,2022,6,10,38.02
29.5,35.625,2020,1,25,10.38
29.5,35.0,2020,1,25,12.91
29.5,34.375,2020,1,25,11.26
29.5,35.625,2022,6,11,38.07
29.5,35.0,2022,6,11,38.51
29.5,34.375,2022,6,11,38.02
29.5,35.625,2024,4,14,26.95
29.5,35.0,2024,4,14,26.95
29.5,34.375,2024,4,14,25.85
29.5,35.625,2021,4,24,33.46
29.5,35.0,2021,4,24,32.29
29.5,34.375,2021,4,24,34.96
29.5,35.625,2023,4,28,25.67
29.5,35.0,2023,4,28,28.39
29.5,35.625,2023,7,16,40.52
29.5,34.375,2023,4,28,27.99
29.5,35.625,2021,3,12,15.64
29.5,35.0,2021,3,12,18.73
29.5,34.375,2021,3,12,17.16
29.5,35.625,2021,4,25,33.27
29.5,35.0,2021,4,25,33.23
29.5,34.375,2021,4,25,35.71
29.5,34.375,2022,7,8,35.16
29.5,35.625,2020,1,26,12.19
29.5,35.0,2020,1,26,16.27
29.5,34.375,2020,1,26,14.15
29.5,35.625,2024,12,17,17.74
29.5,35.0,2024,12,17,19.54
29.5,34.375,2024,12,17,16.25
29.5,35.625,2022,6,10,37.45
29.5,35.0,2022,6,10,38.91
29.5,35.0,2024,12,16,21.42
29.5,34.375,2024,12,16,20.09
29.5,35.625,2020,1,27,16.3
29.5,35.0,2020,1,27,18.98
29.5,34.375,2020,1,27,16.8
29.5,35.625,2022,7,8,36.94
29.5,35.0,2022,7,8,35.87
29.5,35.625,2021,3,11,28.18
29.5,35.0,2021,3,11,30.67
29.5,34.375,2021,3,11,30.5
29.5,35.625,2024,4,15,23.85
29.5,35.0,2024,4,15,24.99
29.5,34.375,2024,4,15,23.77
29.5,34.375,2022,10,31,23.31
29.5,35.625,2021,4,26,27.75
29.5,35.0,2021,4,26,28.44
29.5,35.625,2022,10,30,27.69
29.5,35.0,2022,10,30,26.52
29.5,34.375,2022,10,30,24.95
29.5,35.625,2021,4,27,29.36
29.5,35.0,2021,4,27,26.19
29.5,34.375,2021,4,27,26.26
29.5,35.625,2024,3,18,20.21
29.5,35.625,2023,7,17,38.19
29.5,35.0,2023,7,17,38.71
29.5,34.375,2023,7,17,37.83
29.5,35.625,2022,6,9,35.53
29.5,35.0,2022,6,9,36.47
29.5,34.375,2022,6,9,35.69
29.5,35.625,2022,6,8,35.39
29.5,35.0,2022,6,8,34.53
29.5,35.625,2024,12,16,18.78
29.5,35.0,2022,6,7,32.91
29.5,35.0,2020,1,28,17.48
29.5,34.375,2020,1,28,17.67
29.5,35.625,2023,2,10,16.8
29.5,35.0,2023,2,10,17.34
29.5,34.375,2023,2,10,15.03
29.5,34.375,2022,6,8,33.38
29.5,35.0,2024,3,18,21.27
29.5,34.375,2024,3,18,19.36
29.5,35.625,2021,3,10,29.41
29.5,35.0,2021,3,10,31.56
29.5,34.375,2021,3,10,31.64
29.5,35.625,2024,3,17,28.26
29.5,35.0,2024,3,17,28.89
29.5,34.375,2024,3,17,29.37
29.5,34.375,2021,4,26,30.02
29.5,34.375,2021,4,29,33.74
29.5,35.625,2020,1,29,14.69
29.5,35.0,2020,1,29,15.93
29.5,34.375,2020,1,29,15.18
29.5,35.625,2020,1,28,14.59
29.5,35.625,2023,7,18,37.55
29.5,35.0,2023,7,18,38.01
29.5,34.375,2023,7,18,37.4
29.5,35.625,2023,4,29,22.11
29.5,35.0,2023,4,29,23.14
29.5,34.375,2023,4,29,21.96
29.5,35.625,2021,3,9,25.11
29.5,35.0,2021,3,9,26.74
29.5,34.375,2021,3,9,25.5
29.5,35.625,2024,4,16,27.45
29.5,35.625,2022,6,7,34.5
29.5,35.0,2024,12,14,18.51
29.5,34.375,2024,12,14,16.06
29.5,35.625,2024,12,15,14.07
29.5,35.0,2024,12,15,19.12
29.5,34.375,2024,12,15,18.05
29.5,34.375,2022,6,7,31.68
29.5,35.625,2022,6,6,34.16
29.5,35.0,2022,6,6,33.59
29.5,34.375,2022,6,6,32.83
29.5,35.0,2024,4,16,30.44
29.5,34.375,2024,4,16,28.97
29.5,35.625,2021,3,8,23.47
29.5,35.0,2021,3,8,21.17
29.5,34.375,2021,3,8,20.1
29.5,35.625,2021,4,29,32.64
29.5,35.0,2021,4,29,33.78
29.5,35.625,2023,2,20,21.37
29.5,35.0,2023,2,20,21.13
29.5,34.375,2023,2,20,18.01
29.5,35.625,2024,12,14,15.15
29.5,35.625,2022,7,9,37.44
29.5,35.0,2022,7,9,36.15
29.5,35.625,2021,4,28,30.28
29.5,35.0,2021,4,28,31.01
29.5,34.375,2021,4,28,30.55
29.5,35.625,2024,4,17,30.82
29.5,35.0,2024,4,17,32.27
29.5,34.375,2024,4,17,32.73
29.5,35.625,2024,3,16,23.76
29.5,35.0,2024,3,16,24.23
29.5,34.375,2024,3,16,23.25
29.5,34.375,2022,7,9,35.26
29.5,35.0,2023,2,9,12.88
29.5,34.375,2023,2,9,10.99
29.5,35.625,2023,7,19,38.32
29.5,35.0,2023,7,19,38.41
29.5,35.625,2022,10,31,25.9
29.5,35.0,2022,10,31,25.94
29.5,35.625,2021,3,7,25.17
29.5,35.0,2021,3,7,25.13
29.5,34.375,2021,3,7,22.59
29.5,35.625,2022,10,18,32.0
29.5,35.0,2022,10,18,29.12
29.5,34.375,2022,10,18,27.71
29.5,35.625,2021,4,30,33.63
29.5,35.0,2021,4,30,34.25
29.5,34.375,2021,4,30,34.59
29.5,34.375,2023,7,19,37.34
29.5,35.625,2021,3,6,20.61
29.5,35.0,2021,3,6,25.17
29.5,34.375,2021,3,6,23.08
29.5,35.625,2021,5,1,31.95
29.5,35.0,2021,5,1,31.84
29.5,34.375,2021,5,1,32.86
29.5,35.625,2020,1,31,12.85
29.5,35.0,2020,1,31,16.05
29.5,34.375,2020,1,31,14.87
29.5,35.625,2022,6,5,36.55
29.5,35.0,2022,6,5,36.09
29.5,34.375,2022,6,5,35.79
29.5,35.625,2020,1,30,18.14
29.5,35.0,2020,1,30,19.39
29.5,34.375,2020,1,30,19.13
29.5,35.625,2023,2,9,11.53
29.5,35.0,2020,2,1,15.28
29.5,34.375,2020,2,1,14.83
29.5,35.625,2022,7,10,34.18
29.5,35.0,2022,7,10,34.6
29.5,34.375,2022,7,10,32.94
29.5,35.625,2022,6,4,36.98
29.5,35.0,2022,6,4,36.24
29.5,34.375,2022,6,4,35.45
29.5,35.625,2021,3,5,18.35
29.5,35.0,2021,3,5,19.4
29.5,34.375,2021,3,5,17.67
29.5,35.625,2022,11,1,23.99
29.5,35.0,2022,11,1,24.97
29.5,34.375,2022,11,1,22.48
29.5,35.625,2024,3,15,20.29
29.5,35.0,2024,3,15,22.23
29.5,34.375,2023,4,21,23.88
29.5,35.625,2024,4,18,32.07
