LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,35.0,2024,12,17,5.77
29.5,34.375,2024,12,17,2.53
29.5,35.625,2022,6,10,18.5
29.5,35.0,2022,6,10,22.43
29.5,35.0,2024,12,16,5.96
29.5,34.375,2024,12,16,4.37
29.5,35.625,2020,1,27,-0.51
29.5,35.0,2020,1,27,2.98
29.5,34.375,2020,1,27,0.78
29.5,35.625,2022,7,8,16.27
29.5,35.0,2022,7,8,18.44
29.5,35.625,2021,3,11,12.11
29.5,35.0,2021,3,11,13.69
29.5,34.375,2021,3,11,12.15
29.5,35.625,2024,4,15,8.35
29.5,35.0,2024,4,15,12.59
29.5,34.375,2024,4,15,11.13
29.5,34.375,2022,10,31,13.0
29.5,35.625,2021,4,26,10.96
29.5,35.0,2021,4,26,12.96
29.5,35.625,2022,10,30,13.22
29.5,35.0,2022,10,30,15.77
29.5,34.375,2022,10,30,14.54
29.5,35.625,2021,4,27,7.55
29.5,35.0,2021,4,27,11.36
29.5,34.375,2021,4,27,10.39
29.5,35.625,2024,3,18,8.89
29.5,35.625,2023,7,17,21.75
29.5,35.0,2023,7,17,24.24
29.5,34.375,2023,7,17,21.82
29.5,35.625,2022,6,9,17.13
29.5,35.0,2022,6,9,19.99
29.5,34.375,2022,6,9,18.59
29.5,35.625,2022,6,8,17.01
29.5,35.0,2022,6,8,18.68
29.5,35.625,2024,12,16,-0.94
29.5,35.0,2022,6,7,18.28
29.5,35.0,2020,1,28,6.38
29.5,34.375,2020,1,28,4.63
29.5,35.625,2023,2,10,0.27
29.5,35.0,2023,2,10,3.67
29.5,34.375,2023,2,10,0.68
29.5,34.375,2022,6,8,16.55
29.5,35.0,2024,3,18,11.42
29.5,34.375,2024,3,18,10.2
29.5,35.625,2021,3,10,8.3
29.5,35.0,2021,3,10,14.05
29.5,34.375,2021,3,10,11.92
29.5,35.625,2024,3,17,6.26
29.5,35.0,2024,3,17,10.31
29.5,34.375,2024,3,17,7.74
29.5,34.375,2021,4,26,12.35
29.5,34.375,2021,4,29,12.05
29.5,35.625,2020,1,29,2.89
