LAT,LON,YEAR,MO,DY,TS
29.5,34.375,2020,1,26,5.11
29.5,35.625,2024,12,17,8.05
29.5,35.0,2024,12,17,12.04
29.5,34.375,2024,12,17,8.6
29.5,35.625,2022,6,10,32.29
29.5,35.0,2022,6,10,32.64
29.5,35.0,2024,12,16,12.76
29.5,34.375,2024,12,16,9.85
29.5,35.625,2020,1,27,5.28
29.5,35.0,2020,1,27,10.22
29.5,34.375,2020,1,27,7.22
29.5,35.625,2022,7,8,30.42
29.5,35.0,2022,7,8,30.63
29.5,35.625,2021,3,11,19.41
29.5,35.0,2021,3,11,21.19
29.5,34.375,2021,3,11,20.25
29.5,35.625,2024,4,15,18.39
29.5,35.0,2024,4,15,20.54
29.5,34.375,2024,4,15,18.95
29.5,34.375,2022,10,31,18.94
29.5,35.625,2021,4,26,21.84
29.5,35.0,2021,4,26,21.57
29.5,35.625,2022,10,30,19.61
29.5,35.0,2022,10,30,22.17
29.5,34.375,2022,10,30,20.49
29.5,35.625,2021,4,27,21.51
29.5,35.0,2021,4,27,20.17
29.5,34.375,2021,4,27,20.19
29.5,35.625,2024,3,18,16.01
29.5,35.625,2023,7,17,32.35
29.5,35.0,2023,7,17,33.28
29.5,34.375,2023,7,17,31.68
29.5,35.625,2022,6,9,29.75
29.5,35.0,2022,6,9,30.77
29.5,34.375,2022,6,9,29.42
29.5,35.625,2022,6,8,29.51
29.5,35.0,2022,6,8,29.54
29.5,35.625,2024,12,16,7.59
29.5,35.0,2022,6,7,28.94
29.5,35.0,2020,1,28,10.18
29.5,34.375,2020,1,28,8.75
29.5,35.625,2023,2,10,7.6
29.5,35.0,2023,2,10,10.84
29.5,34.375,2023,2,10,7.46
29.5,34.375,2022,6,8,27.79
29.5,35.0,2024,3,18,18.55
29.5,34.375,2024,3,18,16.17
29.5,35.625,2021,3,10,18.78
29.5,35.0,2021,3,10,21.59
29.5,34.375,2021,3,10,20.03
29.5,35.625,2024,3,17,17.55
29.5,35.0,2024,3,17,20.43
29.5,34.375,2024,3,17,18.78
29.5,34.375,2021,4,26,22.72
29.5,34.375,2021,4,29,24.7
29.5,35.625,2020,1,29,7.86
29.5,35.0,2020,1,29,11.1
29.5,34.375,2020,1,29,9.18
29.5,35.625,2020,1,28,6.36
29.5,35.625,2023,7,18,31.68
29.5,35.0,2023,7,18,33.02
29.5,34.375,2023,7,18,31.25
29.5,35.625,2023,4,29,17.0
29.5,35.0,2023,4,29,19.67
29.5,34.375,2023,4,29,17.65
29.5,35.625,2021,3,9,15.16
29.5,35.0,2021,3,9,17.42
